"","return"
"1",0.0878733673386013
"2",-0.049933544435369
"3",-0.0338194189559277
"4",0.0188918256692134
"5",-0.01190358398114
"6",0.0399360280501326
"7",0.110077173200106
"8",-0.0152668684816606
"9",0.0480477566819523
"10",0.034884400808829
"11",0.0202853652048429
"12",0.0243997545027065
"13",-0.0170221248206569
"14",0.0230063229867321
"15",-0.00177057948681207
"16",-0.0317295060172974
"17",-0.0471540382242356
"18",-0.0373068991011324
"19",0.0532368811956226
"20",-0.00449609335180219
"21",-0.00374057627763883
"22",0.111857467100212
"23",0.00111692958558328
"24",0.0405763314329415
"25",-0.0743979045020007
"26",0.0531863297992329
"27",0.00615364844097231
"28",0.0607301109844481
"29",0.0817143424811626
"30",0.073599940630247
"31",-0.00524483077428209
"32",-0.00198912495874083
"33",-0.0351010035074894
"34",-0.0122131620724491
"35",-0.0505068030316866
"36",0.0315159791881054
"37",-0.0334619974640113
"38",-0.0677139301802889
"39",0.0153485922524478
"40",0.0497326524726717
"41",-0.0287445030142412
"42",0.0685057471264367
"43",0.0667234154007335
"44",-0.0156440453537011
"45",-0.0599983964793814
"46",0.0531568073693589
"47",-0.0790806914611211
"48",-0.00659572596957172
"49",-0.0660774708844823
"50",-0.0944028361294753
"51",0.0381772697192821
"52",-0.0892392038599372
"53",0.0605082183575092
"54",0.0133474060241942
"55",-0.0539534255543677
"56",-0.0779484586097302
"57",0.0174117276580111
"58",-0.103008769667268
"59",0.190034319300329
"60",0.108481202753168
"61",-0.0375109946582582
"62",0.038478045466127
"63",0.114558139433447
"64",-0.0112316678244026
"65",0.117758230014941
"66",0.0433677985907014
"67",-0.0293221791401881
"68",-0.0235387694808885
"69",0.0078772579981023
"70",0.00888146792901931
"71",-0.0432241139496804
"72",0.00579662139781385
"73",0.0611724024370164
"74",0.111990413875742
"75",-0.100145745472588
"76",-0.0114151317263125
"77",-0.0249501084976775
"78",0.0269828218007615
"79",0.202715286541056
"80",-0.00345880548198956
"81",0.0427098460644787
"82",-0.0264341722260136
"83",-0.0411141152740227
"84",0.116927001745513
"85",-0.0252382574315615
"86",0.0393754196527674
"87",0.0861892802288712
"88",0.0636864591930865
"89",-0.005562845894905
"90",-0.105011618233455
"91",-0.0255269501000052
"92",-0.014400368396816
"93",-0.0884321957535993
"94",0.036552148317371
"95",-0.0850639993218614
