Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,115.800003,116.330002,114.760002,116.150002,114.31176,28781900
1/4/2017,115.849998,116.510002,115.75,116.019997,114.183815,21118100
1/5/2017,115.919998,116.860001,115.809998,116.610001,114.764473,22193600
1/6/2017,116.779999,118.160004,116.470001,117.910004,116.043915,31751900
1/9/2017,117.949997,119.43,117.940002,118.989998,117.106812,33561900
1/10/2017,118.769997,119.379997,118.300003,119.110001,117.224907,24462100
1/11/2017,118.739998,119.93,118.599998,119.75,117.854782,27588600
1/12/2017,118.900002,119.300003,118.209999,119.25,117.362694,27086200
1/13/2017,119.110001,119.620003,118.809998,119.040001,117.156021,26111900
1/17/2017,118.339996,120.239998,118.220001,120,118.100822,34439800
1/18/2017,120,120.5,119.709999,119.989998,118.090981,23713000
1/19/2017,119.400002,120.089996,119.370003,119.779999,117.8843,25597300
1/20/2017,120.449997,120.449997,119.730003,120,118.100822,32597900
1/23/2017,120,120.809998,119.769997,120.080002,118.179558,22050200
1/24/2017,119.550003,120.099998,119.5,119.970001,118.071304,23211000
1/25/2017,120.419998,122.099998,120.279999,121.879997,119.951073,32377600
1/26/2017,121.669998,122.440002,121.599998,121.940002,120.010132,26337600
1/27/2017,122.139999,122.349998,121.599998,121.949997,120.019958,20562900
1/30/2017,120.93,121.629997,120.660004,121.629997,119.705017,30377500
1/31/2017,121.150002,121.389999,120.620003,121.349998,119.429459,49201000
2/1/2017,127.029999,130.490005,127.010002,128.75,126.712341,111985000
2/2/2017,127.980003,129.389999,127.779999,128.529999,126.495819,33710400
2/3/2017,128.309998,129.190002,128.160004,129.080002,127.037125,24507300
2/6/2017,129.130005,130.5,128.899994,130.289993,128.227966,26845900
2/7/2017,130.539993,132.089996,130.449997,131.529999,129.448349,38183800
2/8/2017,131.350006,132.220001,131.220001,132.039993,129.950287,23004100
2/9/2017,131.649994,132.449997,131.119995,132.419998,130.889282,28349900
2/10/2017,132.460007,132.940002,132.050003,132.119995,130.592758,20065500
2/13/2017,133.080002,133.820007,132.75,133.289993,131.749222,23035400
2/14/2017,133.470001,135.089996,133.25,135.020004,133.459244,33226200
2/15/2017,135.520004,136.270004,134.619995,135.509995,133.943573,35623100
2/16/2017,135.669998,135.899994,134.839996,135.350006,133.785416,22584600
2/17/2017,135.100006,135.830002,135.100006,135.720001,134.151154,22198200
2/21/2017,136.229996,136.75,135.979996,136.699997,135.119827,24507200
2/22/2017,136.429993,137.119995,136.110001,137.110001,135.52507,20836900
2/23/2017,137.380005,137.479996,136.300003,136.529999,134.951782,20788200
2/24/2017,135.910004,136.660004,135.279999,136.660004,135.080292,21776600
2/27/2017,137.139999,137.440002,136.279999,136.929993,135.347153,20257400
2/28/2017,137.080002,137.440002,136.699997,136.990005,135.406479,23482900
3/1/2017,137.889999,140.149994,137.600006,139.789993,138.174088,36414600
3/2/2017,140,140.279999,138.759995,138.960007,137.353699,26211000
3/3/2017,138.779999,139.830002,138.589996,139.779999,138.1642,21108100
3/6/2017,139.369995,139.770004,138.600006,139.339996,137.729309,21750000
3/7/2017,139.059998,139.979996,138.789993,139.520004,137.907227,17446300
3/8/2017,138.949997,139.800003,138.820007,139,137.393234,18707200
3/9/2017,138.740005,138.789993,137.050003,138.679993,137.07692,22155900
3/10/2017,139.25,139.360001,138.639999,139.139999,137.531601,19612800
3/13/2017,138.850006,139.429993,138.820007,139.199997,137.590912,17421700
3/14/2017,139.300003,139.649994,138.839996,138.990005,137.383347,15309100
3/15/2017,139.410004,140.75,139.029999,140.460007,138.836365,25691800
3/16/2017,140.720001,141.020004,140.259995,140.690002,139.06369,19232000
3/17/2017,141,141,139.889999,139.990005,138.37178,43885000
3/20/2017,140.399994,141.5,140.229996,141.460007,139.824799,21542000
3/21/2017,142.110001,142.800003,139.729996,139.839996,138.223511,39529900
3/22/2017,139.850006,141.600006,139.759995,141.419998,139.785248,25860200
3/23/2017,141.259995,141.580002,140.610001,140.919998,139.291031,20346300
3/24/2017,141.5,141.740005,140.350006,140.639999,139.014267,22395600
3/27/2017,139.389999,141.220001,138.619995,140.880005,139.251511,23575100
3/28/2017,140.910004,144.039993,140.619995,143.800003,142.137741,33374800
3/29/2017,143.679993,144.490005,143.190002,144.119995,142.454041,29190000
3/30/2017,144.190002,144.5,143.5,143.929993,142.266235,21207300
3/31/2017,143.720001,144.270004,143.009995,143.660004,141.999374,19661700
4/3/2017,143.710007,144.119995,143.050003,143.699997,142.03891,19985700
4/4/2017,143.25,144.889999,143.169998,144.770004,143.096542,19891400
4/5/2017,144.220001,145.460007,143.809998,144.020004,142.355209,27717900
4/6/2017,144.289993,144.520004,143.449997,143.660004,141.999374,21149000
